iter	Logloss
0	0.6928272275
1	0.6925142913
2	0.6923056271
3	0.6919820839
4	0.6916796947
5	0.6913559117
6	0.6910811487
7	0.6908356297
8	0.690523053
9	0.6902611741
10	0.6899945611
11	0.6896870781
12	0.6893797749
13	0.6890686964
14	0.6887902179
15	0.688484293
16	0.6881860388
17	0.6878749003
18	0.6875722115
19	0.6872644888
20	0.6869469382
21	0.6866345413
22	0.686330594
23	0.6860240099
24	0.6857156281
25	0.6854140778
26	0.6851126475
27	0.68480882
28	0.6845090077
29	0.6841991876
30	0.6839866282
31	0.6837459034
32	0.6835014632
33	0.6831936806
34	0.6828896734
35	0.6825859658
36	0.6822854942
37	0.6819797492
38	0.6816873078
39	0.681437594
40	0.6812887365
41	0.6809991116
42	0.6806978011
43	0.6803970299
44	0.680096079
45	0.679804117
46	0.6795550624
47	0.6792640592
48	0.6789694605
49	0.6786743224
50	0.6784303616
51	0.6781325867
52	0.6778808354
53	0.6775932481
54	0.6773069791
55	0.6770225678
56	0.676793289
57	0.6765411182
58	0.6762507143
59	0.6760354583
60	0.6758323673
61	0.6755475366
62	0.6753061526
63	0.6750270748
64	0.674734993
65	0.6744942681
66	0.6742471312
67	0.6739539707
68	0.6737295459
69	0.6734380633
70	0.6731528131
71	0.6729193394
72	0.6726286958
73	0.6723397901
74	0.6720523226
75	0.6717716867
76	0.6714945266
77	0.671216887
78	0.6709408655
79	0.6706628064
80	0.6703779757
81	0.670100456
82	0.6698155054
83	0.6695841292
84	0.6693874503
85	0.6691953259
86	0.6689837853
87	0.6687166329
88	0.6684873541
89	0.6682165461
90	0.6679370489
91	0.6676566527
92	0.6675128291
93	0.667232373
94	0.6669645614
95	0.6667641072
96	0.6664919809
97	0.6662214127
98	0.6659700209
99	0.6657586601
100	0.6654828183
101	0.6652082351
102	0.6650421787
103	0.6648746241
104	0.6646975413
105	0.6644294301
106	0.6641600604
107	0.6640007757
108	0.6637850402
109	0.6635132735
110	0.6632753053
111	0.6630768886
112	0.6628063803
113	0.6625413253
114	0.6622771093
115	0.6621181243
116	0.6618479755
117	0.6615778268
118	0.6613715597
119	0.661201728
120	0.6609533326
121	0.6607402938
122	0.6604877635
123	0.6602844927
124	0.66001764
125	0.6597567798
126	0.659502212
127	0.6592485431
128	0.6589981102
129	0.6587751236
130	0.6585101885
131	0.6582551412
132	0.6580006932
133	0.657849199
134	0.6575999047
135	0.6573473744
136	0.6571499764
137	0.6569248924
138	0.6567405585
139	0.6564861105
140	0.6562347787
141	0.6559758961
142	0.6557161147
143	0.6555822988
144	0.6553308471
145	0.6550792756
146	0.6549104626
147	0.6546539172
148	0.6543984504
149	0.6541434032
150	0.6540014373
151	0.6537833647
152	0.6535754197
153	0.6533341555
154	0.6531676197
155	0.6529149096
156	0.6526918032
157	0.6524443666
158	0.652192915
159	0.6519515909
160	0.6517085289
161	0.6515019622
162	0.6512593797
163	0.651044663
164	0.6508542765
165	0.6507052392
166	0.6505173097
167	0.6502702926
168	0.6500286688
169	0.6498932349
170	0.6496880465
171	0.6494760265
172	0.6493165021
173	0.6491385204
174	0.6490024872
175	0.648757148
176	0.6485911516
177	0.6483591161
178	0.6481257023
179	0.647920454
180	0.647714187
181	0.6474714846
182	0.6473002745
183	0.6471267872
184	0.6469827838
185	0.6468194241
186	0.6466969943
187	0.6465487361
188	0.6463070524
189	0.646066028
190	0.6458665326
191	0.6456637413
192	0.645515543
193	0.645313291
194	0.6451490924
195	0.6449896279
196	0.6448380738
197	0.6446869391
198	0.6445313699
199	0.6443865275
200	0.6441489788
201	0.6439214378
202	0.6437665877
203	0.6435683507
204	0.6434421455
205	0.6433201351
206	0.6430827063
207	0.6429568606
208	0.6428329325
209	0.6425983802
210	0.6423749142
